company,symbol,industry,return
Tesla ,TSLA,Motor Vehicles,743%
Moderna ,MRNA,Biotechnology,434%
Peloton Interactive ,PTON,Other Consumer Services,434%
Zoom Video  ,ZM,Software,396%
Pinduoduo  ,PDD,Internet Retail,370%
DocuSign  ,DOCU,Software,200%
MercadoLibre  ,MELI,Internet Software/Services,193%
Okta ,OKTA,Software,120%
Nvidia Corp.,NVDA,Semiconductors,122%
PayPal Holdings ,PYPL,Data Processing Services,117%
Advanced Micro Devices ,AMD,Semiconductors,100%
Cadence Design Systems  ,CDNS,Software,97%
Atlassian Corp. ,TEAM,Software,94%
Idexx Laboratories ,IDXX,Medical Specialties,91%
Align Technology ,ALGN,Medical Specialties,92%
Apple  ,AAPL,Telecommunications Equipment,81%
Synopsys ,SNPS,Software,86%
Amazon ,AMZN,Internet Retail,76%
Marvell Technology Group  ,MRVL,Semiconductors,79%
T-Mobile  ,TMUS,Wireless Telecom ,72%